#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
106.89; 2726.824; 0.027826138210216; 172643.0242314
107.9; 2730.4032; 0.027862662501436; 175422.45690822
108.92; 2732.3595; 0.027882625753256; 178203.88098375
109.94; 2733.5656; 0.027894933516902; 180986.5328144
110.96; 2734.7703; 0.027907226994113; 183770.41092018
111.98; 2736.1862; 0.02792167568207; 186555.73038881
112.99; 2737.2013; 0.027932034367815; 189342.0831701
114.01; 2736.3551; 0.027923399238392; 192127.57457748
115.03; 2731.6505; 0.027875390694451; 194908.27694275
116.05; 2721.1585; 0.027768324069652; 197678.2988741
117.07; 2703.7592; 0.027590771236553; 200430.60907436
118.08; 2679.7861; 0.027346135428035; 203158.51569547
119.1; 2651.3341; 0.027055794252969; 205857.45936018
120.12; 2622.0732; 0.026757198579924; 208526.61676407
121.14; 2596.5578; 0.026496824222471; 211169.80058935
122.15; 2579.1875; 0.026319567322666; 213795.30214024
123.17; 2573.1098; 0.026257546847491; 216414.61684237
124.19; 2579.3936; 0.026321670489972; 219040.32824258
125.21; 2596.732; 0.026498601863153; 221683.68938247
126.23; 2621.7682; 0.026754086178041; 224352.53628766
127.24; 2649.9375; 0.027041542513721; 227050.05826882
128.26; 2676.5491; 0.027313103149682; 229774.66973522
129.28; 2697.765; 0.027529602845172; 232520.87813695
130.3; 2711.187; 0.027666568937248; 235280.74954229
131.32; 2715.9234; 0.027714901987352; 238045.44236204
132.33; 2712.2072; 0.027676979666434; 240806.35220681
133.35; 2700.7974; 0.027560547263114; 243555.64744299
134.37; 2682.4556; 0.027373376597965; 246286.27150462
135.39; 2657.7225; 0.027120985296228; 248991.71834447
136.41; 2627.064; 0.026808127679338; 251665.95614405
137.42; 2591.2696; 0.026442860276106; 254303.75682298
138.44; 2551.8611; 0.026040712441241; 256901.44131281
139.46; 2511.2507; 0.025626299702035; 259457.78619805
140.48; 2472.4932; 0.025230795059388; 261974.67762664
141.5; 2438.6525; 0.024885464376025; 264457.12059921
142.51; 2411.983; 0.024613312893935; 266912.41518304
143.53; 2393.2269; 0.024421914464523; 269348.61684936
144.55; 2381.3042; 0.02430024812374; 271772.68175436
145.57; 2373.5392; 0.02422100943316; 274188.84225931
146.59; 2366.3677; 0.024147827170507; 276597.70244811
147.6; 2356.2941; 0.024045030148817; 278996.30819513
148.62; 2340.7823; 0.02388673849131; 281379.12352733
149.64; 2318.7974; 0.023662391461235; 283739.55917392
150.66; 2290.8599; 0.023377300550986; 286071.5556871
151.68; 2258.6527; 0.023048639075744; 288370.76664012
152.69; 2224.3761; 0.022698860208837; 290635.08547489
153.71; 2190.1093; 0.022349181346974; 292864.52220031
154.73; 2157.3927; 0.022015321650356; 295060.6548913
155.75; 2127.1236; 0.021706437703281; 297225.97496819
156.77; 2099.7133; 0.021426726656223; 299363.39246871
157.78; 2075.3499; 0.021178107993753; 301476.00910719
158.8; 2054.189; 0.020962169551062; 303567.08486253
159.82; 2036.3519; 0.020780149145686; 305640.0031823
160.84; 2021.7254; 0.020630891617319; 307698.03241713
161.86; 2009.6661; 0.020507831328676; 309743.78576214
162.87; 1998.7715; 0.02039665633339; 311778.44887169
163.89; 1986.8717; 0.020275223677864; 313800.9985391
164.91; 1971.3126; 0.02011644934295; 315807.70973799
165.93; 1949.4917; 0.019893775866675; 317792.20816883
166.94; 1919.5061; 0.019587784922662; 319746.18250465
167.96; 1880.7196; 0.019191984346721; 321660.67390792
168.98; 1834.0687; 0.018715930743323; 323527.67670418
170; 1781.9974; 0.018184564145924; 325341.67313845
171.02; 1728.018; 0.017633726158249; 327100.7209362
172.03; 1675.9985; 0.017102888158941; 328806.81513724
173.05; 1629.3519; 0.016626878435307; 330465.42503896
174.07; 1590.3311; 0.016228686922444; 332084.31350384
175.09; 1559.6058; 0.015915147638518; 333671.9249035
176.11; 1536.223; 0.015676535603219; 335235.73364041
177.12; 1517.9588; 0.015490156814746; 336780.95021464
178.14; 1501.9629; 0.015326925112151; 338309.88359887
179.16; 1485.522; 0.015159152364185; 339822.0808449
180.18; 1466.7345; 0.014967433510447; 341315.15323761
181.2; 1444.9119; 0.014744742686358; 342786.01117164
182.21; 1420.6019; 0.014496668949333; 344232.12264821
183.23; 1395.2414; 0.014237875283852; 345652.41814364
184.25; 1370.5598; 0.013986009518827; 347047.5889051
185.27; 1347.936; 0.01375514277215; 348419.72957992
186.29; 1327.9186; 0.013550873285374; 349771.49340927
187.3; 1310.0669; 0.013368703892891; 351105.08500678
188.32; 1293.1508; 0.013196081920744; 352421.45676611
189.34; 1275.6228; 0.013017215756097; 353719.98569953
190.36; 1256.1791; 0.012818800646241; 354998.72181238
191.38; 1234.2035; 0.012594548518912; 356255.08775602
192.39; 1209.9389; 0.01234693807056; 357486.75333316
193.41; 1184.3458; 0.012085770815971; 358692.36621054
194.43; 1158.7312; 0.01182438416256; 359871.90455744
195.45; 1134.3161; 0.01157523792246; 361026.58942827
196.47; 1111.9243; 0.011346738642134; 362158.48039895
