#Wavenumber (cm^-1);   Spectrum (K*cm*km*mol^-1);  Spectrum (normalised);   Integral (K*km*mol^-1)
223.95; 304.19826; 0.005487408202189; 97491.630561835
224.97; 310.78951; 0.005606307236367; 97808.000869407
225.99; 319.01715; 0.005754724979521; 98132.746563057
227; 328.73817; 0.005930081685643; 98467.387837512
228.02; 339.56595; 0.006125403147323; 98813.051322388
229.04; 350.89017; 0.006329679850652; 99170.242378449
230.06; 361.93797; 0.006528970235601; 99538.67961703
231.08; 371.87829; 0.00670828287697; 99917.235663934
232.09; 379.95922; 0.00685405413011; 100304.01775179
233.11; 385.65297; 0.006956763233217; 100696.59583442
234.13; 388.77163; 0.007013020492755; 101092.34858033
235.15; 389.51669; 0.007026460570798; 101488.85976377
236.17; 388.43857; 0.007007012449922; 101884.27346229
237.18; 386.30737; 0.006968567902736; 102277.51769939
238.2; 383.92441; 0.006925581876946; 102668.33617685
239.22; 381.92491; 0.006889513055578; 103057.11925564
240.24; 380.62815; 0.006866120905143; 103444.58228853
241.26; 379.9772; 0.006854378469899; 103831.38268064
242.27; 379.58307; 0.006847268790196; 104217.78186531
243.29; 378.85515; 0.006834137899249; 104603.44005964
244.31; 377.17451; 0.006803820968044; 104987.3874311
245.33; 374.057; 0.006747584453265; 105368.16131672
246.35; 369.26193; 0.006661086567156; 105744.05403217
247.36; 362.82436; 0.006544959754267; 106113.39357529
248.38; 355.01605; 0.00640410627161; 106474.78459352
249.4; 346.26109; 0.006246176244943; 106827.26344107
250.42; 337.04052; 0.006079847116542; 107170.35614263
251.44; 327.81496; 0.005913427973928; 107504.0576232
252.45; 318.97969; 0.005754049241563; 107828.76518463
253.47; 310.85; 0.005607398410663; 108145.19706775
254.49; 303.66349; 0.005477761528719; 108454.3134004
255.51; 297.584; 0.005368094092452; 108757.24106857
256.53; 292.69749; 0.00527994672746; 109055.19447919
257.54; 289.00082; 0.005213262791534; 109349.38484202
